Epochs, Learning Rate, Batch Size, Hidden Size, F1-score, Validation F1-score
100, 0.001, 1, 64, 87.9764 %, 88.0397 %
100, 0.001, 1, 128, 86.8260 %, 86.6321 %
100, 0.001, 1, 256, 86.1773 %, 86.8980 %
100, 0.001, 2, 64, 86.6573 %, 86.5083 %
100, 0.001, 2, 128, 85.5352 %, 86.9881 %
100, 0.001, 2, 256, 85.5836 %, 86.6117 %
100, 0.001, 4, 64, 85.8410 %, 86.9072 %
100, 0.001, 4, 128, 85.9992 %, 83.8522 %
100, 0.001, 4, 256, 85.1919 %, 86.5282 %
100, 0.0001, 1, 64, 85.8333 %, 86.1299 %
100, 0.0001, 1, 128, 85.0853 %, 86.8530 %
100, 0.0001, 1, 256, 86.1318 %, 86.3377 %
100, 0.0001, 2, 64, 85.6060 %, 75.4112 %
100, 0.0001, 2, 128, 85.6439 %, 86.7029 %
100, 0.0001, 2, 256, 86.5516 %, 82.1414 %
100, 0.0001, 4, 64, 68.1700 %, 76.9753 %
100, 0.0001, 4, 128, 66.7918 %, 73.4975 %
100, 0.0001, 4, 256, 85.8573 %, 84.6117 %
100, 1e-05, 1, 64, 66.7697 %, 72.1768 %
100, 1e-05, 1, 128, 67.0709 %, 77.5804 %
100, 1e-05, 1, 256, 66.9170 %, 79.3452 %
100, 1e-05, 2, 64, 68.6461 %, 71.5212 %
100, 1e-05, 2, 128, 70.0337 %, 66.7075 %
100, 1e-05, 2, 256, 66.7698 %, 75.5165 %
100, 1e-05, 4, 64, 67.8306 %, 57.1142 %
100, 1e-05, 4, 128, 67.1611 %, 68.8101 %
100, 1e-05, 4, 256, 67.2317 %, 77.2653 %
200, 0.001, 1, 64, 85.7116 %, 86.6570 %
200, 0.001, 1, 128, 85.9576 %, 86.7963 %
200, 0.001, 1, 256, 85.5110 %, 86.6355 %
200, 0.001, 2, 64, 86.1416 %, 86.5116 %
200, 0.001, 2, 128, 85.2874 %, 86.2806 %
200, 0.001, 2, 256, 87.0160 %, 86.0030 %
200, 0.001, 4, 64, 85.7927 %, 86.3918 %
200, 0.001, 4, 128, 91.5249 %, 84.0628 %
200, 0.001, 4, 256, 85.6194 %, 86.2034 %
200, 0.0001, 1, 64, 85.5569 %, 86.6944 %
200, 0.0001, 1, 128, 85.8280 %, 85.8466 %
200, 0.0001, 1, 256, 86.2609 %, 86.8514 %
200, 0.0001, 2, 64, 85.9840 %, 85.9786 %
200, 0.0001, 2, 128, 85.7575 %, 83.6058 %
200, 0.0001, 2, 256, 90.7056 %, 86.9700 %
200, 0.0001, 4, 64, 85.9431 %, 86.1570 %
200, 0.0001, 4, 128, 66.7034 %, 66.9398 %
200, 0.0001, 4, 256, 85.9679 %, 79.4130 %
200, 1e-05, 1, 64, 66.7258 %, 66.7075 %
200, 1e-05, 1, 128, 85.3994 %, 85.3017 %
200, 1e-05, 1, 256, 85.7522 %, 86.9881 %
200, 1e-05, 2, 64, 67.3805 %, 72.4572 %
200, 1e-05, 2, 128, 66.9092 %, 75.6729 %
200, 1e-05, 2, 256, 66.7917 %, 72.9674 %
200, 1e-05, 4, 64, 67.4181 %, 70.3353 %
200, 1e-05, 4, 128, 67.9864 %, 68.6187 %
200, 1e-05, 4, 256, 67.5774 %, 68.4426 %
300, 0.001, 1, 64, 85.9144 %, 85.6405 %
300, 0.001, 1, 128, 90.4484 %, 86.5734 %
300, 0.001, 1, 256, 85.6763 %, 86.8120 %
300, 0.001, 2, 64, 85.5552 %, 86.6873 %
300, 0.001, 2, 128, 91.0247 %, 85.1501 %
300, 0.001, 2, 256, 85.6276 %, 86.0574 %
300, 0.001, 4, 64, 86.5401 %, 86.0772 %
300, 0.001, 4, 128, 89.3402 %, 86.2880 %
300, 0.001, 4, 256, 90.5276 %, 86.6830 %
300, 0.0001, 1, 64, 86.2318 %, 87.1147 %
300, 0.0001, 1, 128, 85.7739 %, 86.1680 %
300, 0.0001, 1, 256, 85.8176 %, 86.7337 %
300, 0.0001, 2, 64, 89.3526 %, 84.6541 %
300, 0.0001, 2, 128, 86.4070 %, 86.9219 %
300, 0.0001, 2, 256, 90.4277 %, 85.4955 %
300, 0.0001, 4, 64, 66.8136 %, 66.9759 %
300, 0.0001, 4, 128, 67.0450 %, 67.4935 %
300, 0.0001, 4, 256, 86.6195 %, 82.3976 %
300, 1e-05, 1, 64, 67.5370 %, 68.9631 %
300, 1e-05, 1, 128, 85.1432 %, 71.4542 %
300, 1e-05, 1, 256, 85.7630 %, 83.4246 %
300, 1e-05, 2, 64, 67.2175 %, 66.7069 %
300, 1e-05, 2, 128, 85.4514 %, 77.5816 %
300, 1e-05, 2, 256, 66.9387 %, 80.6801 %
300, 1e-05, 4, 64, 66.2072 %, 66.7688 %
300, 1e-05, 4, 128, 67.3590 %, 70.5882 %
300, 1e-05, 4, 256, 66.7256 %, 76.4679 %
